epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.477,1.15576,2.22318,1.22219,0.80332,0.60993,0.60476,0.51335,1.32283,4.6284,1.25196,0.00011432,0.00011432,0.00011432
2,317.563,0.90265,0.99669,0.95309,0.53633,0.79227,0.70759,0.55996,1.19275,3.98996,1.08011,0.000234913,0.000234913,0.000234913
3,479.63,0.7986,0.81698,0.89634,0.70055,0.74241,0.70346,0.62897,1.03104,2.86331,0.95318,0.000347018,0.000347018,0.000347018
4,636.878,0.88561,0.84626,0.88321,0.85831,0.79796,0.77325,0.61393,1.07495,2.95457,0.93425,0.000450635,0.000450635,0.000450635
5,793.511,0.85005,0.7521,0.89253,0.88183,0.76314,0.81226,0.64342,1.03489,1.92032,0.90098,0.000545764,0.000545764,0.000545764
6,950.21,0.84186,0.70213,0.88087,0.85216,0.72959,0.76736,0.63896,0.97275,1.32747,0.92521,0.000632404,0.000632404,0.000632404
7,1106.91,0.81268,0.63651,0.87781,0.85284,0.76266,0.80685,0.62772,0.98132,1.24892,0.98078,0.000710556,0.000710556,0.000710556
8,1263.21,0.7623,0.65581,0.86882,0.90967,0.7709,0.81965,0.6675,1.00122,0.93482,0.93488,0.00078022,0.00078022,0.00078022
9,1419.82,0.88696,0.66661,0.89657,0.58948,0.71924,0.70994,0.6006,1.08538,1.41092,1.01797,0.000841395,0.000841395,0.000841395
10,1576.27,0.91349,0.69589,0.90915,0.8859,0.71138,0.77118,0.6276,1.0171,1.12774,0.96051,0.000894082,0.000894082,0.000894082
11,1734.28,0.83415,0.65153,0.8938,0.77378,0.72698,0.74117,0.6051,1.05244,0.93279,0.98417,0.000938281,0.000938281,0.000938281
12,1890.75,0.90984,0.68427,0.90333,0.8589,0.78942,0.78901,0.65577,0.93092,0.70636,0.9053,0.000910273,0.000910273,0.000910273
13,2047.38,0.82936,0.64242,0.86913,0.8217,0.79613,0.76676,0.63294,1.06718,0.80058,0.87802,0.000863116,0.000863116,0.000863116
14,2203.22,0.83201,0.63296,0.87374,0.86226,0.82218,0.84192,0.71184,0.87577,0.64389,0.87554,0.000815959,0.000815959,0.000815959
15,2359.42,0.77772,0.59285,0.85918,0.92272,0.79084,0.8428,0.66928,0.94117,0.64014,0.8657,0.000768802,0.000768802,0.000768802
16,2515.16,0.73691,0.55449,0.87074,0.87194,0.8219,0.83424,0.70872,0.77972,0.65614,0.8483,0.000721645,0.000721645,0.000721645
17,2670.58,0.69634,0.52397,0.85872,0.90023,0.81029,0.85728,0.71412,0.81442,0.60917,0.84111,0.000674488,0.000674488,0.000674488
18,2825.88,0.65242,0.49946,0.8608,0.94666,0.81352,0.86776,0.71554,0.78544,0.5574,0.82912,0.000627331,0.000627331,0.000627331
19,2982.5,0.69681,0.5228,0.85619,0.91235,0.81648,0.86278,0.71835,0.86161,0.58343,0.85272,0.000580174,0.000580174,0.000580174
20,3138.83,0.69067,0.51875,0.85971,0.9384,0.81062,0.88381,0.74566,0.80286,0.52447,0.84202,0.000533017,0.000533017,0.000533017
21,3293.84,0.81463,0.58632,0.871,0.93953,0.81648,0.87319,0.73483,0.82999,0.5191,0.82638,0.00048586,0.00048586,0.00048586
22,3448.47,0.81658,0.5971,0.82508,0.93784,0.82296,0.88819,0.7402,0.77886,0.53064,0.82196,0.000438703,0.000438703,0.000438703
23,3603.99,0.82193,0.59404,0.87405,0.95671,0.80081,0.87986,0.74113,0.7802,0.49544,0.82479,0.000391546,0.000391546,0.000391546
24,3759.92,0.79428,0.55122,0.84333,0.9296,0.82576,0.88584,0.74836,0.78499,0.47865,0.8309,0.000344389,0.000344389,0.000344389
25,3915.52,0.81837,0.54526,0.86294,0.92098,0.83215,0.89549,0.75048,0.79349,0.48365,0.82718,0.000297232,0.000297232,0.000297232
26,4071.4,0.77377,0.53316,0.84198,0.93085,0.80686,0.88576,0.7461,0.80606,0.51715,0.81899,0.000250075,0.000250075,0.000250075
27,4226.68,0.78766,0.51405,0.84769,0.93131,0.80988,0.8826,0.74686,0.78562,0.50459,0.8192,0.000202918,0.000202918,0.000202918
28,4381.01,0.72162,0.5138,0.84197,0.93593,0.82788,0.89274,0.76061,0.71868,0.47758,0.80813,0.000155761,0.000155761,0.000155761
29,4536.13,0.72886,0.50039,0.83786,0.94278,0.82788,0.9066,0.7661,0.72445,0.46683,0.80644,0.000108604,0.000108604,0.000108604
30,4691.15,0.71793,0.49972,0.81413,0.9373,0.83358,0.90963,0.76625,0.72279,0.46482,0.80604,6.1447e-05,6.1447e-05,6.1447e-05
